id,control
ID196100600-138,TRUE
ID207100700-78,TRUE
ID192606600-106,TRUE
ID194405100-98,TRUE
ID191104700-124,TRUE
ID209114200-81,TRUE
ID1918307800-2,TRUE
ID202814100-87,TRUE
ID19508600-91,TRUE
ID1921110900-40,TRUE
ID1915601800-162,TRUE
ID208903200-177,TRUE
ID1914510300-128,TRUE
ID198312800-118,TRUE
ID205109900-67,TRUE
ID1915000400-171,TRUE
ID1919504800-58,TRUE
ID2014908600-37,TRUE
ID1912908800-22,TRUE
ID19700600-3,TRUE
ID193702200-188,TRUE
ID207812500-16,TRUE
ID2013900700-74,TRUE
ID209610000-27,TRUE
ID2014803700-9,TRUE
ID207612000-99,TRUE
ID2014015300-158,TRUE
ID1917805300-94,TRUE
ID208902900-172,TRUE
ID1911502400-20,TRUE
ID2011800500-100,TRUE
ID1923000800-186,TRUE
ID1910011600-175,TRUE
ID197505900-17,TRUE
ID2011505400-88,TRUE
ID191202100-8,TRUE
ID1910401300-53,TRUE
ID20605500-148,TRUE
ID1917314300-92,TRUE
ID206004600-56,TRUE
ID2015106000-606,TRUE
ID2014400500-633,TRUE
ID1916312500-309,TRUE
ID195003200-720,TRUE
ID1922800400-421,TRUE
ID195207200-433,TRUE
ID1911202700-623,TRUE
ID1911000200-647,TRUE
ID197707900-266,TRUE
ID1922808500-297,TRUE
