Topic,Count,Name,CustomName,Representation,OpenAI,Representative_Docs
-1,198300,-1_müssen_deutschland_jetzt_haben,Gesetzliche Maßnahmen und Investitionen,"['müssen', 'deutschland', 'jetzt', 'haben', 'muss', 'dafür', 'schon', 'wir', 'wenn', 'damit']",['Zusammenarbeit und Finanzierungsstrategien'],"['Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren auf der Tribüne! Das war heute eine sehr intensive Debatte, die wir hier zum Wahlrecht geführt haben. Ich will am Ende noch einmal einige Punkte einordnen: Das, was wir heute hier im Deutschen Bundestag beschließen, ist das, was die Ampelkoalition bereits in ihrem Koalitionsvertrag angekündigt hat: den Deutschen Bundestag auf eine feste Größe zu verkleinern. Das steht heute zur Abstimmung.', 'Um es vorab zu sagen: Dass sich die Parteien an Medienunternehmen beteiligen, ist doch erst mal gar nichts Verwerfliches, sondern es ist auch so vorgesehen, weil die Parteien einerseits verfassungsrechtliche Institutionen, andererseits aber auch Grundrechtsträger sind. Das kann man mehr oder weniger intensiv machen. Es wurde schon gesagt: Die SPD hat ein bisschen tiefer hineingegriffen und hat einige Medienbeteiligungen mehr als die anderen Parteien.\xa0– Aber das herauszufinden, liebe Kolleginnen und Kollegen von der AfD, ist wirklich kein Hexenwerk. Ich glaube, wir sollten als Abgeordnete immer die Einstellung haben, dass wir die Bürger nicht für dümmer halten als uns selbst. Wenn selbst Sie herausfinden konnten, an welchen Unternehmen die SPD beteiligt ist, können die Bürger das auch, liebe Kolleginnen und Kollegen.', 'Frau Präsidentin! Liebe Kolleginnen und Kollegen! Liebe Bürgerinnen und Bürger! Wir stimmen heute über einen Antrag ab, der aus dem September letzten Jahres stammt.']"
0,21854,0_rede_sagen_aber_doch,Rede- und Debattenkultur,"['rede', 'sagen', 'aber', 'doch', 'müssen', 'lassen', 'machen', 'schon', 'zwischenfrage', 'muss']",['Redebeitrag und Entscheidungsfindung'],"['Ja, ich lasse die Zwischenfrage sehr gerne zu.', 'Das ist nicht zu machen, liebe Kolleginnen und Kollegen.', 'Jetzt will ich Ihnen einmal etwas sagen:']"
1,11060,1_agrarpolitik_landwirtschaft_landwirte_landwirtinnen,Landwirtschaftspolitik und Agrarförderung,"['agrarpolitik', 'landwirtschaft', 'landwirte', 'landwirtinnen', 'landwirten', 'landwirtschaftlichen', 'bauern', 'tierhaltung', 'bäuerinnen', 'lebensmittel']",['Zukunft der Landwirtschaft'],"['weil die Bäuerinnen und Bauern sich die Anforderungen hier nicht leisten können.', 'Herr Präsident! Frau Ministerin! Kolleginnen und Kollegen! Gesunde und hochwertige Lebensmittel zu erzeugen, dabei die Natur zu schonen, in geschlossenen Nährstoffkreisläufen zu arbeiten und nicht nur auf den kurzfristigen ökonomischen Gewinn zu schauen, das sind die Ziele der ökologischen Landwirtschaft und einer nachhaltigen Landwirtschaft. Das genau will auch die SPD-Fraktion.', 'Verehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Wenn man mit Menschen, die gerade während der Sommermonate aus dem Ausland nach\r\n                    Deutschland kommen, um vielleicht Urlaub zu machen oder um ihre Ferien hier zu verbringen, über Landwirtschaft spricht, dann ist für mich ganz offenkundig, dass\r\n                    diese Menschen über die Landwirte in ihrem Heimatland mit sehr viel Wertschätzung sprechen. Wenn ich das damit vergleiche, wie Diskussionen über Landwirtschaft\r\n                    in Deutschland sehr häufig verlaufen, sage ich Ihnen, dass ich mir für die kommenden Monate und Jahre sehr wünschen würde, dass dieses permanente\r\n                    Bauern-Bashing, das unseren Landwirten in der Gesellschaft und auch in Teilen der Politik allzu häufig entgegenschlägt\xa0– sie wären pauschal Klimaschänder,\r\n                    Tierquäler oder Brunnenvergifter\xa0–, endlich aufhört, meine sehr verehrten Damen und Herren. Wir alle sind aufgerufen, diesen Menschen, diesen Männern und\r\n                    Frauen, die in Deutschland nach höchsten Standards Lebensmittel produzieren, mit Wertschätzung zu begegnen und nicht mit diesem Bauern-Bashing, verehrte\r\n                    Kolleginnen und Kollegen.']"
2,9340,2_energiepolitik_energiewende_erneuerbaren_erneuerbare,Ausbau erneuerbarer Energien,"['energiepolitik', 'energiewende', 'erneuerbaren', 'erneuerbare', 'energien', 'windenergie', 'atomenergie', 'energieversorgung', 'energie', 'atomkraftwerke']",['Erneuerbare Energien und Energiewende'],"['Es ist die größte EEG-Reform im 21.\xa0Jahr des Bestehens des Erneuerbare-Energien-Gesetzes, die wir heute hier einbringen und diskutieren. Wir legen damit den nachhaltigen Turbo zum Ausbau der erneuerbaren Energien ein, meine sehr verehrten Damen und Herren.', 'Die EEG-Umlage, über die der Ausbau der erneuerbaren Energien finanziert wird, ist dabei der größte Posten. Zu den harten Fakten der Energiewende gehört, dass die EEG-Umlage über viele Jahre stark gestiegen ist.', 'Der zweite Punkt. Energiesouveränität erreichen wir nur auf einem Weg: Das ist der maximale Ausbau der erneuerbaren Energien.']"
3,9283,3_verkehrspolitik_nahverkehr_autobahnen_verkehrsminister,ÖPNV-Finanzierung und Verkehrswende,"['verkehrspolitik', 'nahverkehr', 'autobahnen', 'verkehrsminister', 'bahn', 'verkehrswende', 'verkehr', 'ticket', 'mobilität', 'maut']",['ÖPNV-Finanzierung und Verkehrswende'],"['Vielen Dank.\xa0– Frau Präsidentin! Sehr geehrte Damen und Herren! Dass die Deutsche Bahn nicht funktioniert, das kann jeder einfach an einem\r\n                    Wochenende ausprobieren, wenn er mit der Deutschen Bahn fährt.', 'Vielen Dank.\xa0– Frau Präsidentin! Meine Kolleginnen und Kollegen! Liebe Gäste! Ja, eines haben die letzten Wochen ganz deutlich gezeigt: Die Menschen in Deutschland fahren Bus und Bahn; sie fahren auch gern Bus und Bahn. Das 9‑Euro-Ticket ist allen Unkenrufen zum Trotz, vor allem von der rechten Seite dieses Parlaments, ein großer Erfolg. Es wirkt als Teil eines umfangreichen Entlastungspakets mit ganz vielen weiteren Maßnahmen für die Bürgerinnen und Bürger, meine Damen und Herren.', 'Durch die konsequente Digitalisierung der Schiene können wir unser Ziel erreichen und die Fahrgastzahlen auf der Schiene bis 2030 verdoppeln. Mit den\r\n                    zusätzlichen 1,5\xa0Milliarden Euro aus dem Entlastungspaket\xa0III stärken wir auch den Güterverkehr auf der Schiene. Wir machen Ernst; denn wir wollen mehr Güter\r\n                    von der Straße auf die Schiene bekommen.']"
4,8840,4_sozialwohnungen_mietrecht_wohnungsbau_wohngeld,Wohnungsmarkt und Mietrecht,"['sozialwohnungen', 'mietrecht', 'wohnungsbau', 'wohngeld', 'wohnungsmarkt', 'wohnungen', 'wohnung', 'mietpreisbremse', 'wohnen', 'mieter']",['Wohnungsbau und Mietpreise'],"['Wir brauchen jetzt ein ziviles Investitionsprogramm. Wir brauchen zum Beispiel bezahlbare Wohnungen. Doch was macht Herr Seehofer, der sich auch Bauminister nennt? Er gibt das Geld mit vollen Händen für das Baukindergeld aus. Damit entstehen aber keine neuen Wohnungen in den Ballungszentren, dort, wo Wohnungen dringend gebraucht werden. Angesichts der angespannten Mietsituation in vielen Städten ist es überhaupt nicht zu akzeptieren, dass 10\xa0Milliarden Euro vom Bund in das Baukindergeld fließen, sich die Mittel für den sozialen Wohnungsbau in der gesamten Legislatur aber nur auf 5\xa0Milliarden Euro belaufen. Das ist genau die falsche Verteilung, das können wir nicht hinnehmen, meine Damen und Herren.', 'Das Thema Miete und das Problem der Mieter/-innen ist ja nicht neu. In meinem Wahlkreis, in Friedrichshain-Kreuzberg, sind seit Jahren viele Menschen\r\n                    neben all ihren alltäglichen Aufgaben, die sie haben, damit beschäftigt, zu protestieren, sich zu organisieren, dafür zu sorgen, dass ihre Wohnung, dass ihre\r\n                    Häuser vor Spekulationen gerettet werden. Eigentlich wären wir jetzt in der Situation gewesen, Instrumente auf den Weg zu bringen, die diese Mieterinnen und\r\n                    Mieter schützen. Aber die Krise im Energiebereich, die wir aufgrund dieses Angriffskrieges haben, verschärft die schon bestehende Mietenkrise weiter. Das heißt\r\n                    für uns, liebe Kolleginnen und Kollegen, dass wir uns noch mehr anstrengen müssen, um die Mieterinnen und Mieter zu schützen.', 'Konzentrieren wir uns also auf das Wesentliche. Sie beschreiben ja im Koalitionsvertrag die Problemstellung noch richtig: Wir brauchen mehr Wohnraum. Aber Sie machen dann eine Politik der Wohnungsbauverhinderung\xa0– und das nennen Sie auch noch „Mietpreisbremse“\xa0– oder eine Politik der nutzlosen Wahlgeschenke wie das Baukindergeld oder eine Sonderabschreibung für die Bauindustrie, die nicht mal der berühmte Tropfen auf den heißen Stein ist. Wer die Diagnose „Uns fehlt Wohnraum, wir brauchen mehr Wohnraum, um die Mieter zu schützen“ richtig stellt, für den kann es in der Bau- und Wohnungspolitik doch nur heißen: Wir müssen mehr bauen, wir müssen schneller bauen, und wir müssen günstiger bauen.']"
5,8418,5_bundeshaushalt_haushaltspolitik_haushaltsentwurf_nachtragshaushalt,Bundeshaushalt und Schuldenmanagement,"['bundeshaushalt', 'haushaltspolitik', 'haushaltsentwurf', 'nachtragshaushalt', 'haushalt', 'haushaltsberatungen', 'schuldenbremse', 'schulden', 'ausgaben', 'investitionen']",['Haushaltspolitik und Schuldenmanagement'],"['Über 45\xa0Milliarden Euro neue Schulden für den Bund\xa0– das ist das traurige Ergebnis der Haushaltsberatungen. 45\xa0Milliarden Euro, die unsere Kinder\r\n                    irgendwann mit Zins und Zinseszins zurückzahlen müssen. 45\xa0Milliarden Euro, die unsere Handlungsfähigkeit in der Zukunft einschränken. Dabei waren es im\r\n                    Regierungsentwurf nur 17\xa0Milliarden Euro. Die Ampel hält\xa0– das haben wir ja heute schon gehört\xa0– zwar die Schuldenbremse ein, aber sie nutzt den\r\n                    Verschuldungsspielraum der Konjunkturkomponente voll aus. Das hätte man jedoch nicht tun müssen.', 'Das haben wir uns in einem Jahrzehnt erarbeitet; Finanzminister Scholz ist darauf eingegangen. Im Haushalt\xa02010 haben wir mit einer Verschuldung in Höhe von 86\xa0Milliarden Euro bei einem Haushaltsetat von etwa 300\xa0Milliarden Euro begonnen. Seit 2014 haben wir keine neuen Schulden mehr gemacht. Wir werden in diesem Jahr oder im nächsten Jahr im Rahmen der Maastricht-Kriterien die Schuldenstandsquote auf unter 60\xa0Prozent bringen. Wir halten die Schuldenbremse ein. Ich meine, das ist nachhaltige Haushaltspolitik: ohne Schulden, mit Überschüssen in Wachstum und Zusammenhalt investieren. Überschüsse sind für uns kein Fetisch, sondern das Ergebnis einer nachhaltigen Haushalts- und Finanzpolitik.', 'In dem Regierungsentwurf 2023\xa0– ich komme jetzt mal auf den Haushalt zu sprechen\xa0– gibt es\xa0– das wurde ja auch schon gesagt\xa0– eine Senkung von\r\n                    64\xa0Milliarden Euro auf 22,1\xa0Milliarden Euro. Wenn wir uns den Haushalt\xa02019, aus der Zeit vor Corona, anschauen, bemerken wir im Vergleich mit diesem Haushalt\r\n                    eine Steigerung um 6,8\xa0Milliarden Euro. Das zeigt, dass es uns wichtig ist, etwas zu verändern.']"
6,7244,6_afd_bundestag_demokratie_partei,AfD-Parlamentsdebatten und Kontroversen,"['afd', 'bundestag', 'demokratie', 'partei', 'fraktion', 'als', 'debatte', 'da', 'aber', 'denn']",['AfD und parlamentarische Prozesse'],"['Herr Präsident! Verehrte Kolleginnen und Kollegen! Uns liegt ein Antrag der AfD-Fraktion vor, der so nützlich ist wie ein Kropf. Aber was will man von Ihnen auch sonst erwarten?', 'Wir als AfD-Fraktion sind gerade nicht gegen diesen Protektionismus,', 'Herr Präsident! Liebe Kolleginnen und Kollegen! Die AfD ist jetzt über ein Jahr im Deutschen Bundestag.']"
7,7033,7_klimaschutz_klimaschutzgesetz_klimapolitik_emissionshandel,Bewertung der Klimaschutzmaßnahmen,"['klimaschutz', 'klimaschutzgesetz', 'klimapolitik', 'emissionshandel', 'klimaziele', 'klimakrise', 'klimawandels', 'co2', 'klimawandel', 'emissionen']",['CO2-Regulierung und Klimapolitik'],"['Die vorherrschende Expertenmeinung lautet, die Steuerung über den CO2-Preis sei ein richtiges Instrument. In Frankreich wird über dessen Einführung nachgedacht; in Schweden und in Großbritannien wird es schon angewandt. Wir haben bei der Vorstellung Ihrer Vorschläge nichts davon gehört. Interessanterweise haben wir aber vom BDI etwas davon gehört: Die Industrie geht jetzt diesen Weg. Wir sollten einen CO2-Preis einführen, um tatsächlich mehr Klimaschutz zu erreichen, aber auch, weil es ökonomisch sinnvoll ist und weil wir damit in technologieorientierten Branchen wieder die Führerschaft erreichen können. Mich würde interessieren, warum Sie sich überhaupt nicht zum CO2-Preis äußern. Verfolgen Sie dieses Ziel, oder ergreifen Sie auch hier nicht die Hand, die Macron uns hier ausstreckt?', 'Ja, LULUCF in den Emissionshandel zu integrieren, bedeutet, eine einheitliche Form zu haben, anständig mit dem Klimaschutz umzugehen. Denn es geht darum, CO2 zu reduzieren. Es ist dafür zu sorgen, die Gesamtheit bis 2050 auf CO2-Neutralität umzustellen. Da müssen natürlich alle Emissionen, aber auch alle Reduktionen von Emissionen berücksichtigt sein. Das funktioniert technologisch. Deswegen freue ich mich auch.', 'Zunächst einmal möchte ich sagen, dass die CO2-Bepreisung, der Emissionshandel das Instrument ist, das wirklich effizient und erfolgreich\r\n                    funktioniert. Das sehen wir in den Bereichen Industrie und Energie. Ich war im Europäischen Parlament daran beteiligt, das auf den Weg zu bringen. Genau\r\n                    deswegen ist es richtig, die CO2-Bepreisung auch auf die Bereiche Wärme und Verkehr auszuweiten. Wir haben es auf Bundesebene vorgeschlagen; wir haben es auch\xa0–\r\n                    Kollege Jung hat es gesagt\xa0– im Europäischen Parlament durchgesetzt. Wir werden es deshalb mit diesem Instrument schaffen, die CO2-Emissionen zu reduzieren, und\r\n                    zwar in ganz Europa und nicht nur in Deutschland.']"
8,6639,8_bundeswehr_streitkräfte_soldatinnen_wehrbeauftragte,Bundeswehr Finanzierung und Ausrüstung,"['bundeswehr', 'streitkräfte', 'soldatinnen', 'wehrbeauftragte', 'soldaten', 'wehrbeauftragten', 'verteidigungshaushalt', 'einsatzbereitschaft', 'einsatz', 'verteidigung']",['Bundeswehr Finanzierung und Ausstattung'],"['Stattdessen hat sich die Mehrheit im Bundestag entschieden, nicht nur in der NATO zu bleiben, sondern die Soldatinnen und Soldaten der Bundeswehr auch mit allen Konsequenzen weltweit zu entsenden.', 'Sie haben ein personelles Problem. Ich glaube, da sind Sie nicht ehrlich zu sich selbst, nicht ehrlich zu Ihrem Haus, nicht ehrlich zu den Soldatinnen und Soldaten der Bundeswehr. Sie übernehmen eine Planung, die vorsieht, dass die Truppe auf über 200\xa0000 Soldatinnen und Soldaten aufwachsen soll. Darüber kann man diskutieren; Sie leiten das von den Aufgaben und anderen Dingen ab. Aber schaut man sich die Zahlen an, wie viele Soldatinnen und Soldaten derzeit ihren Dienst leisten, dann kommt man Pi mal Daumen auf 179\xa0000, 180\xa0000 Soldatinnen und Soldaten\xa0– bei einer Struktur von 185\xa0000. Ich sage Ihnen: Angesichts des demografischen Wandels, des Übergangs zu einer Berufsarmee, des Aufwuchses bei den Länderpolizeien und der Bundespolizei sollten Sie doch lieber die Priorität darauf setzen, eine Truppe in einem Umfang von 180\xa0000 Soldatinnen und Soldaten zu haben, die vernünftig ausgestattet ist und vernünftig bezahlt wird und für die Sie ausreichend Bewerberinnen und Bewerber bekommen, statt den Laden auf 200\xa0000 aufblähen zu wollen mit dem Ergebnis, dass Sie dann eine Struktur haben, die alle in der Bundeswehr am Ende des Tages überfordert, und Sie Versprechungen machen, die Sie nicht halten können. Auch das ist kein guter Umgang mit Steuergeld, meine Damen und Herren.', 'Klar ist auch, dass der große Teil der Soldatinnen und Soldaten einen außergewöhnlichen Dienst leistet. Dass das KSK und die Bundeswehr durch rechtsextreme Vorfälle in ein sehr negatives Licht gerückt werden, tut all denjenigen Soldatinnen und Soldaten Unrecht, die jeden Tag ihren Dienst in der Bundeswehr mit verantwortungsbewusster und demokratischer Haltung leisten. Es ist deshalb nicht angebracht, das KSK oder die ganze Bundeswehr unter einen Generalverdacht zu stellen.']"
